,symbol,name,slug,marketcap,sector,category,lowername,yf_ticker,ticker,size
233,SYS-USD,Handshake,handshake,174753240.9,Misc,Infrastructure,handshake,SYS-USD,HNS,19.98278597
234,TWT-USD,Game Protocol,game-protocol,174753240.9,Misc.,Misc.,game protocol,TWT-USD,,19.98278597
235,TWT-USD,CVT,cvt,174753240.9,Currencies,Payments,cvt,TWT-USD,CVT,19.98278597
236,MTL-USD,RAMP,ramp,172063392.3,Interoperability,Financial,ramp,MTL-USD,RAMP,19.98255382
237,RDD-USD,Perpetual Protocol,perpetual-protocol,170875094.6,Derivatives,Financial,perpetual protocol,RDD-USD,PERP,19.98245126
238,REV-USD,SpaceChain,spacechain-1,169468400,Misc.,Misc.,spacechain,REV-USD,SPC,19.98232985
239,DIVI-USD,PARSIQ,parsiq,165793479.8,Misc.,Misc.,parsiq,DIVI-USD,PRQ,19.98201267
240,OXT-USD,BORA,bora,165600228.5,Misc.,Misc.,bora,OXT-USD,BORA,19.98199599
241,MLN-USD,Monavale,monavale,8494208.738,Virtual and Augmented Reality,Media and Entertainment,monavale,MLN-USD,MONA,19.96843651
242,PPT-USD,SONM,sonm,163693703.3,Shared Compute,Services,sonm,PPT-USD,SNM,19.98183145
243,AION-USD,Quarkchain,quarkchain,162471383.4,Smart Contract Platforms,Infrastructure,quarkchain,AION-USD,QKC,19.98172595
244,FIRO-USD,district0x,district0x,162166482.6,Application Development,Infrastructure,district0x,FIRO-USD,DNT,19.98169964
245,HIVE-USD,Lithiumcoin,lithiumcoin,162166482.6,Misc.,Misc.,lithiumcoin,HIVE-USD,LIT,19.98169964
246,META-USD,IRISnet,iris-network,160832322.2,Interoperability,Infrastructure,irisnet,META-USD,IRIS,19.98158449
247,META-USD,Metadium,metadium,158849709.2,Identity,Services,metadium,META-USD,META,19.98141337
248,TOMO-USD,Tellor,tellor,158689701.3,Data Management,Infrastructure,tellor,TOMO-USD,TRB,19.98139956
249,HNS-USD,Devery,devery-1,158641925.9,Misc.,Misc.,devery,HNS-USD,EVE,19.98139544
250,HNS-USD,Bytecoin,bytecoin,158640342.9,Currencies,Payments,bytecoin,HNS-USD,BCN,19.9813953
251,SNM-USD,Troy Trade,troy-trade,154590458.8,Asset Management,Financial,troy trade,SNM-USD,TROY,19.98104576
252,PAC-USD,EducoinV,educoinv,154590458.8,Misc.,Misc.,educoinv,PAC-USD,EDC,19.98104576
253,DNT-USD,Burger Swap,burger-swap,150303382.7,Misc.,Misc.,burger swap,DNT-USD,BURGER,19.98067576
254,IRIS-USD,Elastos,elastos,149104187.3,Data management,Infrastructure,elastos,IRIS-USD,ELA,19.98057226
255,MONA-USD,Synthetix USD,synthetix-usd,147732590.3,Stablecoins,Financial,synthetix usd,MONA-USD,SUSD,19.98045388
256,ELA-USD,Hxro,hxro-games,143927587.4,Centralized Exchanges,Financial,hxro,ELA-USD,HXRO,19.98012547
257,KDA-USD,LockTrip,locktrip,143357151.2,Payment Platforms,Payments,locktrip,KDA-USD,LOC,19.98007624
258,KDA-USD,Rally,rally,142265582.3,Tokenization,Media and Entertainment,rally,KDA-USD,RLY,19.97998203
259,ATRI-USD,Kadena,kadena,141304153.6,Smart Contract Platforms,Infrastructure,kadena,ATRI-USD,KDA,19.97989905
260,ATRI-USD,FRAX,frax,139749643.3,Stablecoins,Payments,frax,ATRI-USD,FRAX,19.97976489
262,ADX-USD,bZx Network,bzx-network,136439346.5,Lending,Financial,bzx network,ADX-USD,bzrx,19.97947918
263,GAS-USD,Whale,whale,131716013.9,Misc,Financial,whale,GAS-USD,WHALE,19.97907152
264,WTC-USD,Mainframe,mainframe,130795184.9,Lending,Financial,mainframe,WTC-USD,MFT,19.97899205
265,CRU-USD,Adex,adex,129847504.5,Advertising,Media and Entertainment,adex,CRU-USD,ADX,19.97891025
266,CSC-USD,Chromia,chromia,128827161,Application Development,Infrastructure,chromia,CSC-USD,CHR,19.97882219
267,VRA-USD,Ultra,ultra,128097167.7,Gaming,Media and Entertainment,ultra,VRA-USD,UOS,19.97875919
268,NRG-USD,NEO GAS,neo-gas,126141314.9,Smart Contract Platforms,Infrastructure,neo gas,NRG-USD,GAS,19.97859038
269,BEAM-USD,Gemini Dollar,gemini-dollar,125405654.1,Stablecoins,Payments,gemini dollar,BEAM-USD,GUSD,19.97852689
270,AE-USD,LTO Network,lto-network,125279984.4,Enterprise and BaaS,Infrastructure,lto network,AE-USD,LTO,19.97851604
271,AE-USD,Waltonchain,waltonchain,123596342.8,IoT,Infrastructure,waltonchain,AE-USD,WTC,19.97837073
273,NULS-USD,Tokenlon,tokenlon,121624321.2,Decentralized Exchanges,Financial,tokenlon,NULS-USD,LON,19.97820053
274,DAG-USD,Loom Network,loom-network,116717666.4,Enterprise and BaaS,Infrastructure,loom network,DAG-USD,LOOM,19.97777704
275,TT-USD,Akropolis,akropolis,116615198,Lending,Financial,akropolis,TT-USD,AKRO,19.9777682
276,MWC-USD,Streamr,streamr,116070884.2,Data Management,Services,streamr,MWC-USD,DATA,19.97772122
277,NXS-USD,QuickSwap,quickswap,115864189.4,Decentralized Exchanges,Financial,quickswap,NXS-USD,QUICK,19.97770338
278,GRS-USD,Request Network,request-network,113694822.7,Misc,Financial,request network,GRS-USD,REQ,19.97751615
279,GRS-USD,Aeternity,aeternity,113676462,Smart Contract Platforms,Infrastructure,aeternity,GRS-USD,AE,19.97751456
280,CTXC-USD,Beam,beam,112409620.5,Wallet,Payments,beam,CTXC-USD,BEAM,19.97740523
281,FSN-USD,Shopping.io,shopping-io,111985994.9,Rewards,Payments,shopping.io,FSN-USD,SPI,19.97736866
282,PIVX-USD,Verasity,verasity-1,111896380,Misc.,Misc.,verasity,PIVX-USD,VRA,19.97736093
283,PIVX-USD,Energi,energi,111889491.7,Smart Contract Platforms,Financial,energi,PIVX-USD,NRG,19.97736034
284,GRN-USD,BarnBridge,barnbridge,111676523.6,Derivatives,Financial,barnbridge,GRN-USD,BOND,19.97734195
285,CET-USD,PAX Gold,pax-gold,110297644.4,Misc.,Misc.,pax gold,CET-USD,PAXG,19.97722295
286,GXC-USD,DIA,dia,109541483.2,Data Management,Infrastructure,dia,GXC-USD,DIA,19.97715768
287,GXC-USD,DFI.Money,dfi-money,108986540.5,Asset Management,Financial,dfi.money,GXC-USD,YFII,19.97710979
288,HC-USD,Rari Governance Token,rari-governance-token,108793805.3,Asset Management,Financial,rari governance token,HC-USD,RGT,19.97709315
289,VITE-USD,Bella,bella,108030203.3,Asset Management,Financial,bella,VITE-USD,BEL,19.97702725
290,VITE-USD,Eidoo,eidoo,107049995.5,Centralized Exchanges,Financial,eidoo,VITE-USD,EDO,19.97694265
291,WICC-USD,DEGO,dego,107049995.5,Misc.,Infrastructure,dego,WICC-USD,DEGO,19.97694265
292,EMC2-USD,VSP,vsp,103988642.7,Decentralized Exchanges,Financial,vsp,EMC2-USD,VSP,19.97667843
293,RBTC-USD,Constellation Labs,constellation-labs,103304353.2,Data Management,Services,constellation labs,RBTC-USD,DAG,19.97661937
294,LOKI-USD,Cashtakers,cashtakers,103304353.2,Misc.,Misc.,cashtakers,LOKI-USD,CTK,19.97661937
295,SOLVE-USD,NULS,nuls,102297489.9,Enterprise and BaaS,Infrastructure,nuls,SOLVE-USD,NULS,19.97653247
296,SOLVE-USD,Nexus,nexus-2,101162169.5,Enterprise and BaaS,Infrastructure,nexus,SOLVE-USD,NXS,19.97643448
297,VSYS-USD,SFI,sfi,101162169.5,Misc.,Misc.,sfi,VSYS-USD,SFI,19.97643448
298,LBC-USD,Lido DAO,lido-dao,96552735.42,Derivatives,Financial,lido dao,LBC-USD,LDO,19.97603665
299,DGD-USD,Gala,gala,95854768.2,Misc.,Misc.,gala,DGD-USD,GALA,19.97597641
300,DGD-USD,Groestlcoin,groestlcoin,95044767.62,Currencies,Payments,groestlcoin,DGD-USD,GRS,19.9759065
