symbol,name,slug,marketcap,sector,mc
KDA,Kadena,kadena,76581496.04,Smart Contract Platforms,10
GXC,GXChain,gxchain,74646283.57,Data Management,10
NAS,Nebulas,nebulas,73208416.75,Smart Contract Platforms,10
EASY,EasyFi,easyfi,71973702.15,Lending,10
SWINGBY,SWINGBY,swingby,71654798.48,Currencies,10
WABI,Tael,tael,71390585.3,Rewards,10
DORA,DORA,dora,71064089.61,Information,10
FSN,Fusion,fusion,70852664.76,Interoperability,10
TRU,TrueFi,truefi,69689949.68,Lending,10
NCASH,Nucleus Vision,nucleus-vision,68997532.74,IoT,10
CAS,Cashaa,cashaa,68628389.72,Asset Management,10
SOUL,Phantasma,phantasma,68135424.34,Smart Contract Platforms,10
NXT,Nxt,nxt,68066811.37,Smart Contract Platforms,10
FXF,FXF,fxf,67242599.14,Asset Management,10
MDT,Measurable Data Token,measurable-data-token,65611929.85,Data Management,10
LABS,LABS,labs,65497188.92,Tokenization,10
BMI,Bridge Mutual Coin,bridge-mutual-coin,63552610.09,Decentralized Exchanges,10
GRIN,Grin,grin,62914425.33,Currencies,10
XRT,Robonomics Network,robonomics-network,62154225.2,IoT,10
CVP,PowerPool,powerpool,61814396.29,Misc,10
RAD,Radicle,radicle,60233286.6,Application Development,10
RDN,Raiden Network,raiden-network,59863405.9,Scaling,10
GHST,Aavegotchi,aavegotchi,59857479.32,Gaming,10
CORE,cVault.finance,cvault-finance,58575285.31,None,10
NEBL,Neblio,neblio,57857680.99,Enterprise and BaaS,10
NAV,NavCoin,navcoin,57407910.85,Currencies,10
PAI,Project PAI,project-pai,57179254.02,AI,10
PRO,Propy,propy,57132008.62,Payment Platforms,10
SBD,Steem Dollars,steem-dollars,57113660.61,Stablecoins,10
EURS,Stasis Euro,stasis-euro,55670529.46,Stablecoins,10
KAN,BitKan,bitkan,55549265.8,Information,10
TRTL,Turtlecoin,turtlecoin,55368324.71,Currencies,10
PNK,Kleros,kleros-1,54709085.77,None,10
XSN,Stakenet,stakenet,54247937.06,Interoperability,10
MTA,Meta,meta,53884746.22,Asset Management,10
GAME,GameCredits,gamecredits,52097155.1,Gaming,10
MPH,88mph,88mph,50943815.61,Asset Management,10
QASH,Qash,qash,50895426.22,Centralized Exchanges,10
DF,dForce,dforce,49560082.61,None,10
SENT,Sentinel,sentinel,48971607.79,Shared Compute,10
ZAP,Zap,zap,48958635.73,None,10
RBTC,RSK Smart Bitcoin,rsk-smart-bitcoin,48956291.04,None,10
BNK,Bankera,bankera-1,47600659.13,None,10
KP3R,Keep3rV1,keep3rv1,47543261.69,None,10
TCT,TokenClub,tokenclub,47110876.02,Asset Management,10
GVT,Genesis Vision,genesis-vision,47034814.2,Asset Management,10
BAX,BABB,babb-1,46478697.99,None,10
RBC,Rubic,rubic,46286950.3,Decentralized Exchanges,10
BFT,BnkToTheFuture,bnktothefuture,45908725.78,Asset Management,10
BZ,Bit-Z Token,bit-z-token,45714997.35,Centralized Exchanges,10
BRD,Bread,bread,44814066.99,Wallet,10
DIGG,DIGG,digg,44691383.65,Stablecoins,10
LYM,Lympo,lympo,44511234.01,Data Management,10
AMB,Ambrosus,ambrosus,44253644.97,None,10
SOC,All Sports,all-sports,44070799.59,Misc,10
BTU,BTU Protocol,btu-protocol,43818681.01,Rewards,10
OAX,OAX,oax,43566438.98,Decentralized Exchanges,10
FXC,Flexacoin,flexacoin,43444928.75,Payment Platforms,10
DERO,Dero,dero,42984286.63,Smart Contract Platforms,10
MOON,Moonswap,moonswap,42148470.93,None,10
MUSE,MUSE,muse,42094063.23,Tokenization,10
APY,APY.Finance ,apy-finance,42085451.44,Asset Management,10
VTC,Vertcoin,vertcoin,41634476.75,Currencies,10
DGD,DigixDAO,digixdao,41514040.29,Tokenization,10
APPC,AppCoins,appcoins,41275246.73,Payment Platforms,10
SIX,SIX,six,40467594.54,None,10
WPR,WePower,wepower,40259286.99,Energy,10
SALT,SALT,salt,39511226.1,Lending,10
PTF,PowerTrade Fuel,powertrade-fuel,39307554.97,Derivatives,10
POA,POA Network,poa-network,37819191.9,Scaling,10
MOF,Molecular Future,molecular-future,37787353.23,Misc,10
UFT,UniLend,unilend,37539068.08,Lending,10
DBC,DeepBrain Chain,deepbrain-chain,37479740.41,AI,10
DHT,dHEDGE,dhedge,37408406.51,Asset Management,10
CUDOS,Cudos,cudos,37299208.22,Shared Compute,10
MET,Metronome,metronome,37185236.18,Interoperability,10
PI,PCHAIN,pchain,37137760.07,None,10
MATTER,MATTER,matter,36661824.11,Derivatives,10
CRPT,Crypterium,crypterium,36598220.78,Payment Platforms,10
KAT,Kambria,kambria,35580149.08,,10
BAO,BAO token,bao-token,34879009.79,Decentralized Exchanges,10
CDT,Blox,blox,34620338.94,Asset Management,10
OST,OpenST,openst,34601750.15,Smart Contract Platforms,10
PRE,Presearch,presearch,34193823.98,None,10
MTH,Monetha,monetha,33732805.24,Enterprise and BaaS,10
RARI,Rarible,rarible,33071518.3,Tokenization,10
PAY,TenX Pay Token,pay-token,32890738.03,Payment Platforms,10
BOS,BOScoin,boscoin-1,32851259.18,None,10
QRL,Quantum Resistant Ledger,quantum-resistant-ledger,32428086.82,Application Development,10
VIA,Viacoin,viacoin,31782952.66,Currencies,10
USDK,USDK,usdk,31231278.6,None,10
ULT,Ultiledger,ultiledger,30872315.41,None,10
CWS,CWS,cws,30634981.2,Gaming,10
CXO,CargoX,cargox-1,30472982.25,None,10
OPIUM,Opium,opium,30329114.48,Derivatives,10
CMT,CyberMiles,cybermiles,29511940.81,Enterprise and BaaS,10
GBYTE,Obyte,byteball,29445924.3,Smart Contract Platforms,10
ETP,Metaverse,metaverse,28950438.67,Smart Contract Platforms,10
FOAM,FOAM,foam,28343052.07,None,10
TRUE,TrueChain,truechain,27890398.81,Smart Contract Platforms,10
NEW,Newton Project,newton-project,27701485.04,Smart Contract Platforms,10
MDA,Moeda,moeda,27684148.14,Crowdfunding,10
ABT,Arcblock,arcblock,27428753.07,Application Development,10
WHITE,WHITE,white,27373885.67,None,10
QLC,QLC Chain,qlc-chain,27307577.83,IoT,10
TKY,THEKEY,thekey-1,26993155.03,None,10
DLT,Agrello,agrello,26310681.3,Identity,10
BLOCK,Blocknet,blocknet,26074253.59,Interoperability,10
EVX,Everex,everex,25863524.43,Payment Platforms,10
ADK,Aidos Kuneen,aidos-kuneen,25828506.09,None,10
DOV,Dovu,dovu-1,25102671.8,None,10
ACT,Achain,achain,25003793.25,Smart Contract Platforms,10
DGTX,Digitex Futures,digitex-futures,24978107.62,Decentralized Exchanges,10
YOYOW,YOYOW,yoyow,24805053.29,Content Creation and Distribution,10
HIT,HitChain,hitchain,24580800,None,10
VIB,Viberate,viberate,24466899.88,Content Creation and Distribution,10
MINT,MINT,mint,24353668.55,Stablecoins,10
ROOM,ROOM,room,24118739.51,Data Management,10
ARMOR,ARMOR,armor,24088754.31,Asset Management,10
SNM,SONM,sonm,23987912.3,Shared Compute,10
SAKE,SakeToken,saketoken,23644509.69,None,10
XDN,DigitalNote,digitalnote,23095861.45,,10
MDS,MediShares,medishares,22788167.49,Healthcare,10
