,name,slug,mc,sector,category,tagline,desc
BCH,Bitcoin Cash,bitcoin-cash,15021870674.951557,Currencies,Payments,A bitcoin fork focused on payments,"Bitcoin Cash is a Bitcoin <a href=""https://messari.io/blog/hard-fork"">hard fork</a> advocating for and building towards a literal interpretation of Bitcoin as a ""peer-to-peer electronic cash system"". It views cheap peer to peer transactions as the core value proposition of the network and is dedicated to increasing block sizes and on-chain transaction throughput in pursuit of this goal. Bitcoin Cash believes that starting as a medium of exchange is the superior route to becoming money in opposition to Bitcoin's strategy of first optimizing for securely storing value."
LINK,Chainlink,chainlink,13897900322.108242,Data Management,Services,Decentralized oracle network,"Chainlink is a decentralized <a href=""https://messari.io/article/oracles"">oracle</a> network. It aims to serve as a middleware between smart contracts on smart contracting platforms and external data sources, allowing smart contracts to securely access off-chain data feeds."
LTC,Litecoin,litecoin,13498379205.79386,Currencies,Payments,A peer-to-peer electronic cash,"Litecoin is a fork of Bitcoin's codebase with four times faster block times and a four times larger supply. The project considers itself complementary to Bitcoin as a silver to Bitcoin's gold. It is often used as a pseduo-testnet for Bitcoin, adopting new protocol changes before they are deployed on Bitcoin."
USDC,USD Coin,usd-coin,10830397882.273975,Stablecoins,Payments,A USD stablecoin by Coinbase and Circle,"USD Coin (USDC) is fiat-collateralized <a href=""https://messari.io/article/stablecoins"">stablecoin</a> that offers the advantages of transacting with blockchain-based assets while mitigating price risk. Each USDC is issued as an <a href=""https://messari.io/article/erc-20"">ERC-20</a> token on the Ethereum blockchain and is 100% collateralized by a corresponding USD held in accounts subject to regular public reporting of reserves.
"
MATIC,Polygon,polygon,10658517035.13027,Scaling,Infrastructure,,"Polygon is a platform design to support infrastructure development and help Ethereum scale. Its core component is a modular, flexible framework (Polygon SDK) that allows developers to build and connect Layer-2 infrastructures like Plasma, Optimistic Rollups, zkRollups, and Validium and standalone sidechains like the project's flagship product, Matic POS (Proof-of-Stake). Polygon rebranded from Matic Network in February 2021 and pivoted towards supporting multiple Layer-2 infrastructure. It will continue to support the Matic POS sidechain and Plasma-based payment system, which currently hosts over 90 applications."
HEX,Hex,hex-2,10556055766.687986,,,An ERC-20 compliant token airdropped to Bitcoin holders,"HEX is an ERC-20 compliant token on Ethereum claiming to be a high-interest blockchain certificate of deposit for Bitcoin holders.
"
SOL,Sola Token,sola-token,,,,,
ETC,Ethereum Classic,ethereum-classic,9218515332.073456,Smart Contract Platforms,Infrastructure,A smart contract platform with a definitive monetary policy,"Ethereum Classic is a decentralized computing platform designed to execute <a href=""https://messari.io/resource/smart-contracts"">smart contracts</a>, which are applications that run as programmed without the possibility of censorship or third-party interference. It is a distributed network consisting of a blockchain ledger, a native cryptocurrency (called ETC), and an ecosystem of on-chain applications and services. Ethereum Classic is the legacy chain that split from <a href=""https://messari.io/asset/ethereum"">Ethereum</a> following a contentious hard fork, known as The DAO fork, in Jul. 2017. Like its sister chain, Ethereum Classic features an execution engine optimized for smart contract processing (known as the Ethereum Virtual Machine or EVM) and a Proof of Work (PoW) consensus system. While it shares some aspects with Ethereum, Ethereum Classic offers a more defined monetary policy and inflation schedule."
VET,VeChain,vechain,8247499199.69921,Smart Contract Platforms,Infrastructure,Enterprise supply chain network ,VeChain is a smart contract platform focused on providing supply chain management solutions for enterprises and integrating with Internet of Things (IoT) devices to facilitate the process. 
THETA,Theta Network,theta-token,8081562278.925374,Content Creation and Distribution,Media and Entertainment,A decentralized video streaming and content delivery network,"Theta Token is the native asset of the Theta Network, a blockchain protocol for improving the quality and deliverability of streaming video content. "
XLM,Stellar,stellar,7947281452.514792,Currencies,Payments,A federated blockchain for global financial transactions ,"Stellar is an open-source payments network that serves as a distributed intermediary blockchain for global financial systems and circulates a native asset, Stellar Lumens (XLM). The Stellar blockchain allows anyone to issue new assets in the network and exchange for other assets via built-in asset exchange features. Assets on Stellar are issued and redeemed by anchors, who are trusted entities that issue digital credits on the Stellar network in exchange for deposits of the asset with the trusted entity. Anchors enable real world assets to be exchanged on Stellar by leveraging a <a href=""https://messari.io/resource/decentralized-exchanges"">distributed exchange</a> that maintains an order book for every asset pair. Stellar supports the issuance of any type of asset including stocks, currencies, cryptoassets and more.
"
EOS,EOS,eos,6919350591.594531,Smart Contract Platforms,Infrastructure,A high-performance smart contract platform,"EOS is an open-source protocol designed by Dan Larimer and Block.one to support the creation of smart contracts and <a href=""https://messari.io/article/decentralized-applications-dapps"">decentralized applications (dApps)</a>. Its network features a <a href=""https://messari.io/article/delegated-proof-of-stake"">delegated Proof-of-Stake (DPoS)</a> consensus mechanism to help secure the platform while giving it a level of performance desirable for running applications. Through DPoS, EOS offers greater scalability and transaction throughput than traditional blockchain networks, but to a certain extent, it relinquishes complete decentralization and censorship resistance."
TRX,TRON,tron,5570454836.386245,Smart Contract Platforms,Infrastructure,Multi-purpose blockchain platform,"TRON is a multi-purpose smart contract platform that enables the creation and deployment of decentralized applications (<a href=""https://messari.io/article/decentralized-applications-dapps"">dApps</a>). It features a delegated Proof-of-Stake (<a href=""https://messari.io/article/delegated-proof-of-stake"">DPoS</a>) consensus mechanism, a system that offers an increase in performance while relinquishing true decentralization and censorship resistance. Tron is the brainchild of notorious crypto celebrity <a href=""https://messari.io/person/justin-sun"">Justin Sun</a>, who through Tron also acquired the peer-to-peer file-sharing network BitTorrent in 2018 and launched the BitTorrent Token (<a href=""https://messari.io/asset/bittorrent"">BTT</a>) a few months later."
WBTC,World Bitcoin,world-bitcoin,,,,A Bitcoin fork for chain interoperability and smart contracts,"World Bitcoin is a Bitcoin fork seemingly focused on developing smart contract features and optimizing for protocol interoperability. 
"
BUSD,Binance USD,binance-usd,5250711657.370753,Stablecoins,Payments,A USD backed stablecoin,"Binance USD (BUSD) is a fiat-collateralized stablecoin that offers the advantages of transacting with blockchain-based assets while mitigating price risk. BUSD are issued as <a href=""https://messari.io/article/erc-20"">ERC-20</a> tokens on the <a href=""https://messari.io/asset/ethereum"">Ethereum</a> blockchain and are collateralized 1:1 by USD held in Paxos-owned US bank accounts. BUSD is also the one of three stablecoins approved by Wall Street regulators, alongside <a href=""https://messari.io/asset/gemini-dollar"">GUSD</a> and <a href=""https://messari.io/asset/paxos-standard-token/profile"">PAX</a>."
AAVE,Aave,aave,4958150794.012714,Lending,Financial,A peer-to-peer lending platform on Ethereum,"Aave is an open-source and non-custodial protocol to earn interest on deposits and borrow assets with a variable or stable interest rate. It also enables ultra-short duration, uncollateralized flash loans designed to be integrated into other products and services. "
XMR,Monero,monero,4664716725.739274,Currencies,Payments,A privacy preserving electronic cash system,"Aimed at privacy-preservation and fungibility, Monero is a Bytecoin code fork providing anonymous value transfer through ring signatures, stealth addresses, confidential transactions, and bulletproofs. Monero offers anonymity by default in contrast to the optional privacy preserving functionalities of its peers. In pursuit of decentralization Monero continually changes its proof-of-work algorithm in order to prevent ASICs from dominating and centralizing the mining process. "
FIL,Filecoin,filecoin,4541212959.491033,File Storage,Infrastructure,Blockchain-based distributed file transfer and storage,"Filecoin is a decentralized data storage network built by Protocol Labs that allows users to sell their excess storage on an open platform. It acts as the incentive and security layer for IPFS (InterPlanetary File System), a peer-to-peer network for storing and sharing data files. Filecoin turns IPFS' storage system into an ""algorithmic market,"" where users pay storage providers in Filcoin's native token, FIL, to store and distribute data on the network."
DAI,Dai,dai,4529589211.273884,Stablecoins,Payments,A stablecoin for Maker's DAO,"Dai a fully collateralized stablecoin native to Maker's decentralized autonomous organization (DAO). 
"
NEO,NEO,neo,4479474321.490034,Smart Contract Platforms,Infrastructure,A distributed platform for smart contract development,"NEO aims to build a comprehensive ""smart economy"" by incorporating digital assets, digital identities, and smart contracts. "
MIR,Mirror Protocol,mirror-protocol,352123607.2241197,,,,
MKR,Maker,maker,3764462139.3705034,Lending,Financial,A decentralized autonomous organization for the Dai stablecoin,"Maker is a peer-to-contract lending platform enabling over-collateralized loans by locking Ether in a smart contract and minting <a href=""https://messari.io/asset/dai"">Dai</a>, a stablecoin pegged to the US dollar. Dai's stability is achieved through a dynamic system of collateralized debt positions, autonomous feedback mechanisms and incentives for external actors. Once generated, Dai can be freely sent to others, used as payments for goods and services, or held as long term savings."
BSV,Bitcoin SV,bitcoin-sv,3423836066.753725,Currencies,Payments,A bitcoin fork focused on scalability,Bitcoin SV is a Bitcoin Cash hard fork prioritizing what the creators consider strict adherence to Satoshi Nakamo's original Bitcoin client. It views cheap peer-to-peer transactions as the core value proposition of the network and is dedicated to increasing block sizes and on-chain transaction throughput in pursuit of this goal.
FTT,FTX Token,ftx-token,3421251100.5477037,Centralized Exchanges,Financial,Exchange token for the FTX ecosystem,FTT is the native token designed for the cryptocurrency derivatives exchange FTX. It has numerous uses designed to benefit its users and increase network effects around the platform. 
RUNE,RuneStoneCoin,runestonecoin,,,,,
XTZ,Tezos,tezos,3415171313.0655584,Smart Contract Platforms,Infrastructure,Self-amending blockchain,"Tezos is a multi-purpose blockchain which aims to combine a self-amending protocol and <a href=""https://messari.io/resource/on-chain-governance"">on-chain governance</a> to manage future changes and implementations to the network. It supports the creation of new tokens and <a href=""https://messari.io/resource/smart-contracts"">smart contracts</a> (thus decentralized applications or <a href=""https://messari.io/resource/decentralized-applications-dapps"">dApps</a>). The on-chain governance system enables token holders to make decisions together and improve the network over time, as opposed to the less-inclusive off-chain governance models used by <a href=""https://messari.io/asset/bitcoin"">Bitcoin</a> and <a href=""https://messari.io/asset/ethereum"">Ethereum</a>."
MIOTA,IOTA,iota,3328762793.8833914,IoT,Services,A cryptocurrency for the internet of things,"IOTA is transaction settlement and data transfer layer for the Internet of Things (IoT). It's distributed ledger, the Tangle, is based on a data structure referred to as a <a href=""https://messari.io/article/directed-acyclic-graph-dag"">Directed Acyclic Graph</a> (DAG). In the Tangle there are no blocks or miners, and every transaction on the Iota network must validate two previous transactions through a small proof-of-work (PoW). Thus the more transactions occur, the faster the network can process new transactions, theoretically allowing the network to become more efficient as it scales.   "
CRO,Crypto.com Chain,crypto-com-chain,3313216722.114324,Payment Platforms,Payments,Enabling instant crypto payment transactions,
ATOM,Cosmos,cosmos,3097774992.465934,Smart Contract Platforms,Infrastructure,An Internet of Blockchains,"Cosmos is a network of sovereign blockchains that communicate via IBC (Inter-Blockchain Communication), an interoperability protocol modeled after TCP/IP for secure transfer of data and value. The Cosmos Hub, also known as ""Gaia,"" is a Proof-of-Stake (PoS) chain with a native token, ATOM, that acts as the primary hub for routing transactions and data between blockchains within the Cosmos network. The Cosmos Hub, like the majority of blockchains in the Cosmos network, is secured by a <a href=""https://messari.io/resource/byzantine-general-s-problem"">Byzantine Fault-Tolerant (BFT)</a> Proof-of-Stake consensus algorithm called Tendermint."
CAKE,PancakeSwap,pancakeswap,3066192462.505121,Decentralized Exchanges,Financial,,"PancakeSwap is a decentralized exchange (DEX) built on Binance Smart Chain (BSC) that utilizes an automated market making (AMM) system. PancakeSwap is a fork of SushiSwap and has an almost identical codebase, but it has the advantage of cheaper and faster transactions from being built on BSC. It also offers additional features compared to SushiSwap, such as yield farming across other protocols, lotteries, and initial farm offerings (IFO)."
COIN,Coin Artist,coin-artist,,,,,
NIO,Autonio,autonio-2,2910871085.6481133,,,,
HT,Huobi Token,huobi-token,2909755090.0810275,Centralized Exchanges,Financial,Token for the Huobi exchange,"Huobi Token is an ecosystem token launched by Huobi Global, offering benefits such as trading fee and margin discounts and access to certain trading events. Huobi has committed to using 20% of exchange revenues every quarter to buy HT in the open market and subsequently burn. They also burn tokens used in FastTrack to vote on token listings as well as for ticket sales from Huobi Prime <a href=""https://messari.io/article/initial-exchange-offering-ieo"">Initial Exchange Offerings (IEO)</a>"
BTT,Bitcoin Top,bitcoin-top,,,,A Bitcoin fork built on Bitcoin Diamond,"Bitcoin Top is a Bitcoin fork targeting privacy and confirmation speed. 
"
ALGO,Algorand,algorand,2750260978.746836,Smart Contract Platforms,Infrastructure,"Scalable, secure and decentralized digital currency and transactions platform","Algorand is a scalable, secure, and decentralized digital currency and smart contract platform. Its protocol uses a variation of <a href=""https://messari.io/resource/proof-of-stake"">Proof-of-Stake</a> (PoS) called Pure PoS (PPoS) to secure the network and reach consensus on block production. Unlike other PoS models, PPoS does not reward, nor does it put validator or user funds at risk of being slashed (a loss of funds used to promote honest node and user behavior). Algorand intends to eventually leverage its PPoS design to form the foundation for an on-chain governance system."
KSM,Kusama,kusama,2697522176.3248177,Smart Contract Platforms,Infrastructure,"An early, unaudited and unrefined release of Polkadot","Kusama is an early, experimental version of Polkadot that exists as an independent network. It intends to act as a sandbox for developers, allowing teams to deploy and test pre-release versions of their projects before launching them on Polkadot's mainnet. Kusama will also serve as a testbed for Parity Technologies leading up to the mainnet launch of Polkadot. Like its sister chain, Kusama uses a native token, KSM, to power computation and give holders the ability to participate in securing the network and voting on upgrade proposals."
LUNA,Terra,terra,2672366517.7588196,Payment Platforms,Payments,A multi-fiat pegged stablecoin protocol,"Terra is an algorithmically-governed, seigniorage share style stablecoin platform to which a collection of fiat-pegged tokens and a stabilizing cryptoasset, Luna, are native.
"
AVAX,Avalanche,avalanche,2537009175.8284974,Smart Contract Platforms,Infrastructure,Open-source platform for launching decentralized applications,"Avalanche is an open-source platform for launching decentralized finance applications and enterprise blockchain deployments in one interoperable,  scalable ecosystem. Developers who build on Avalanche can create applications and custom blockchain networks with complex rulesets or build on existing private or public subnets."
FXC,,flexacoin-old,,,,,
COMP,Compound,compound,2243972227.213534,Lending,Financial,Decentralized money market protocol,"Compound is a lending platform built on Ethereum that enables users to permissionlessly borrow or lend from a pool of assets. Rather than interest rates being set by individuals, they are determined algorithmically based on the proportion of assets lent out."
HBAR,Hedera Hashgraph,hedera-hashgraph,2156530004.4399037,Smart Contract Platforms,Infrastructure,A public ledger with permissioned governance ,"Hedera Hashgraph is a distributed ledger of transactions, otherwise known as a <a href=""https://messari.io/article/distributed-ledger-technology-dlt"">DLT</a> (distributed ledger technology). While blockchains are the most commonly used DLTs, Hedera is slightly different since it uses a new consensus algorithm known as hashgraph. The hashgraph consensus algorithm aims to process and finalize more transactions at scale than traditional Proof-of-Work (PoW) networks, as they are often characterized by high latency and low transactions per second (tps). Hedera's state is stored on mainnet nodes, which are all currently run by members of the Hedera Governing Council. But in the future, mainnet nodes will be permissionless. These nodes secure the Hedera ledger by reaching a consensus on the validity and order of transactions.

Hedera provides two core network services: the Hedera Consensus Service (HCS) and the Hedera Token Service (HTS). HCS allows clients to submit messages to the Hedera network for consensus timestamping and ordering, but it doesn't require the consensus nodes to store state related to that message. Instead, application state or data is persisted off-chain, where HCS users can define confidentiality and access control that cater to their use-case. The HTS supports native tokenization, whereby clients can create and manage various token types. Token controls include managing supply and KYC compliance, along with native atomic swaps and multi-sig capabilities."
DASH,Dash,dash,2121373582.45878,Currencies,Payments,Digital Cash,"Dash is a fork of Bitcoin that focuses on the payments use case. It has introduced a number of features to the industry including masternodes, LLMQs, ChainLocks, and InstantSend, which target scalability, speed, reliability, cost-effectiveness, and user experience. The Dash network is also the longest-running decentralized autonomous organization, utilizing on-chain governance to allocate network resources toward projects and organizations that support the network."
FEI,Fei Protocol,fei-protocol,2048484802.889779,Stablecoins,Financial,,
EGLD,Elrond,elrond,1979384871.8444998,Smart Contract Platforms,Infrastructure,,Elrond is a blockchain designed for high throughput and relatively fast execution speed compared to other smart contract platforms. It features Adaptive State Sharding as its scaling solution and a Proof-of-Stake (PoS) variation called Secure PoS to secure the network. Elrond also contains a WebAssembly-based virtual machine that can support the creation and execution of decentralized applications (dApps).
UST,Ultra Salescloud,ultra-salescloud,,,,,
LEO,Unus Sed Leo,unus-sed-leo,1961838569.3991675,Centralized Exchanges,Financial,Bitfinex exchange token,A utility token for the iFinex ecosystem
DCR,Decred,decred,1933644162.4914997,Currencies,Payments,a community-directed cryptocurrency with on-chain governance,"Decred is a hybrid proof-of-work proof-of-stake (PoW/PoS) cryptocurrency with a strong focus on community input, open governance, and sustainable funding for development. It utilizes its hybrid consensus and on-chain governance systems to ensure that a small group cannot dominate the flow of transactions or make changes to Decred without the input of the community. The project funds its own development from a decentralized treasury. "
XEM,NEM,new-economy-movement,1881361959.4046273,Smart Contract Platforms,Infrastructure,A performance-focused smart contracts platform ,NEM is a smart contracts platform focused on high performance and enterprise solutions. 
TEL,Telcoin,telcoin,1872042240.8563385,Payment Platforms,Payments,Mobile remittance network,Telcoin is a mobile remittance network built on top of Ethereum. The project plans to compete with existing remittance providers by providing low-cost services directly through mobile carriers.
YFI,yearn.finance,yearn-finance,1737014211.0154974,Asset Management,Financial,Yield farming aggregator,"yEarn.finance is a decentralized asset management platform that has multiple uses ranging from liquidity provision, lending, to insurance. The most prominent product in its ecosystem is Vaults which maximize users' yields by through various yield farming strategies proposed by the community."
WAVES,Waves,waves,1735743233.5828736,Smart Contract Platforms,Infrastructure,Blockchain ecosystem for Web 3.0 ,"Waves is a public blockchain network that enables users to create and access decentralized applications. It features on-chain governance, Formal Verification for smart contracts, and a variation of Proof-of-Stake (PoS) called Leased PoS to ensure network consensus."
CHZ,Chiliz,chiliz,1701800249.2927184,Misc,Media and Entertainment,The world's tokenized sports exchange,Chiliz developed the Socios.com sports fan engagement platform which is built on the Chiliz blockchain infrastructure & uses $CHZ as it’s exclusive on-platform currency.
HOT,Hydro Protocol,hydro-protocol,7238107.551059488,Decentralized Exchanges,Financial,,
TTT,TrustNote,trustnote,,,,,
CEL,Celsius Network,celsius,1625628888.6285796,Lending,Financial,Peer-to-peer lending platform,"The Celsius Network is a leading retail savings platform for interest-bearing and borrowing accounts with fiat on-ramp, as well as a market-leading CeFi lending provider. Celsius Network operates on a community-first mandate, giving 80% of its revenue back to its users in the form of additional earnings on saving and borrowing. Combining attractive interest rates, low fees, and a strong community, the platform has experienced considerable growth since inception."
TFUEL,Theta Fuel,theta-fuel,1624627615.4815147,Content Creation and Distribution,Media and Entertainment,,
ZEC,Zcash,zcash,1596781173.7013955,Currencies,Payments,"A privacy-protecting, digital currency built on strong science","Zcash is a privacy-preserving cryptocurrency providing anonymous value transfer using zero-knowledge cryptography. The protocol provides the option for transactions to be either shielded, in which case they will be completely anonymous, or transparent, in which case they will be visible on the Zcash blockchain. Zcash pays out a portion of its block rewards, called the ""Founder's Reward"", to fund protocol development. It currently allocates the Founder's Reward to the Electric Coin Company and the Zcash Foundation who develop and steward the Zcash protocol respectively."
SUSHI,SushiSwap,sushiswap,1570395951.6347826,Decentralized Exchanges,Financial,,"SushiSwap is a decentralized exchange built on Ethereum that utilizes an automated market making system rather than a traditional order-book. Instead of matching individual buy and sell orders, users can pool together two assets that are then traded against, with the price determined based on the ratio between the two. SushiSwap began as a fork of <a href=""https://messari.io/asset/uniswap"">Uniswap</a>; however, is growing into a more diversified, more grassroots alternative.
"
SNX,Synthetix,synthetix,1566620093.4728045,Derivatives,Financial,"Decentralized synthetic asset platform that provides on-chain exposure to real-world currencies, commodities, stocks, and indices","Synthetix is a token for minting synthetic assets on the Synthetix Network, built on Ethereum.
"
DFI,DeFiChain,defichain,1453354018.0716102,Decentralized Exchanges,Financial,,"DeFiChain is a blockchain platform dedicated to bringing full DeFi capabilities to the Bitcoin ecosystem. The network operates on a hybrid Proof of Stake / Proof of Work consensus mechanism, and further leverages Bitcoin’s security by anchoring to the Bitcoin blockchain (via Merkle root) every few blocks. Being non-Turing complete, DeFi transactions on DeFiChain flow quickly and smoothly at low gas rates, and have reduced risk of smart contract errors. 

DeFiChain currently supports tokenized BTC, ETH, USDT, DOGE, LTC, and BCH on the DeFiChain DEX."
MANA,Decentraland,decentraland,1441719204.975288,Virtual and Augmented Reality,Media and Entertainment,Virtual world on the Ethereum blockchain,"Decentraland is building a decentralized, blockchain-based virtual world for users to create, experience and monetize content and applications."
ENJ,Enjin Coin,enjin-coin,1439560718.5260842,Gaming,Media and Entertainment,Gaming community platform and virtual goods marketplace,Enjin is a Singapore-based technology company that provides services for building gaming communities as well as services for blockchain game developers. Enjin provides a suite of tools based on a web interface that supports Ethereum digital assets in the form of ERC-1155 tokens. Enjin also operates a virtual goods marketplaces for digital assets on Ethereum. 
ZIL,Zilliqa,zilliqa,1414228411.8191102,Smart Contract Platforms,Infrastructure,High-throughput smart contract processing,"Zilliqa is a smart contract platform featuring a sharded architecture that aims to address the scalability limitations seen in some other blockchains. Its sharded design allows concurrent chains to execute transactions in parallel, thereby increasing the overall capacity of the network. In addition to scalability, Zilliqa provides a smart contract layer to support smart contract creation by way of its native programming language, Scilla. The network reaches a consensus on transactions and contract executions through a hybrid <a href=""https://messari.io/article/proof-of-work"">Proof-of-Work</a>-<a href=""https://messari.io/article/byzantine-general-s-problem"">BFT</a> mechanism. In the coming weeks, it will also introduce a <a href=""https://messari.io/article/staking"">staking</a> system to, in its words, increase the distribution of node operators."
BAT,Basic Attention Token,basic-attention-token,1360351794.4071636,Advertising,Media and Entertainment,Blockchain-Based Digital Advertising,"Basic Attention Token (BAT) is a blockchain-based digital advertising and rewards platform powered by BAT, an ERC-20 token, and Brave, a new internet browser. BAT is utilized within this ecosystem as a payment token allowing advertisers, publishers, and users to spend, receive, and earn BAT, respectively.
"
QTUM,Qtum,qtum,1359210599.7217355,Smart Contract Platforms,Infrastructure,A scalability-focused proof-of-stake smart contract platform,"Qtum (pronounced Quantum) is a smart contract platform that uses a <a href=""https://messari.io/resource/proof-of-stake"">Proof-of-Stake (PoS)</a> consensus mechanism to validate transaction blocks and provide security assurances. It combines different aspects of the Ethereum and Bitcoin blockchains. Qtum uses Bitcoin core as the base of its network for security and stability reasons and, therefore, operates via a UTXO model. The project also integrated Ethereum's virtual machine (the EVM) so the chain could run Turing complete code needed to support smart contracts, and thus decentralized applications (dApps). Qtum's stack features a middleware layer, dubbed the account abstraction layer (AAL), to ensure the UTXO set was compatible with the smart contract execution layer. Qtum's native token (QTUM) allows users to pay transaction fees, participate in network security, and vote on protocol upgrade proposals. "
STX,Stacks,stacks,1299860449.4114738,Smart Contract Platforms,Infrastructure,,"Stacks (formerly Blockstack) provides software for internet ownership, which includes infrastructure and developer tools to power a computing network and ecosystem for decentralized applications (<a href=""https://messari.io/article/decentralized-applications-dapps"">dApps</a>). Its focus is to replace the reliance on centralized cloud service providers and apps that harvest and monetize user information. The Stacks network allows users to directly own digital assets like usernames, domain names, computer programs, etc. On the Stacks blockchain, computing is done on the edges (i.e., client devices), and applications on the platform store data individually and use the blockchain only when necessary."
HNT,Helium,helium,1262280025.020328,IoT,Infrastructure,Decentralized Wireless Network,"Helium is a decentralized, open wireless network built on a new blockchain for the physical world. It relies on a novel type of work called Proof of Coverage, and a new consensus algorithm (based on HoneyBadger BFT). The Helium Network is used to route data for long-range, lower power IoT devices that use Helium's LongFi protocol"
NEXO,Nexo,nexo,1239279091.8261082,Lending,Financial,Instant crypto credit lines,Nexo offers crypto backed lines of credit and interest-bearing crypto accounts.
R,Revain,revain,1227271730.0128982,Misc,Services,Review system,
BTG,Bitcoin Gold,bitcoin-gold,1186953735.3495617,Currencies,Payments,A Bitcoin fork for restoring GPU mining ,"Bitcoin Gold is an experimental Bitcoin hard fork that prioritizes ""one CPU one vote"" blockchain governance."
NEAR,NEAR Protocol,near-protocol,1176144472.8144536,Smart Contract Platforms,Infrastructure,"A scalable, developer-friendly blockchain","NEAR is a decentralized development platform that uses a Proof-of-Stake (PoS) consensus mechanism and will eventually feature a sharded architecture to scale transaction throughput. Its block generation scheme is called Doomslug and its proposed sharding design is dubbed Nightshade. These technologies will work together to scale the network and minimize congestion. NEAR has also been designed to be developer and user-friendly as it features a few key innovations to accelerate the application development and user-onboarding processes. The NEAR blockchain was created and developed by the NEAR Foundation. Its mainnet went live in April 2020, and network validators voted to unlock token transfers in October 2020. NEAR's bridge to Ethereum (called the Rainbow Bridge) launched in March 2021."
NANO,Nano,nano,1174682069.86556,Currencies,Payments,Fee-less peer-to-peer transactions,Nano is a decentralized next-generation digital currency focused on addressing the inefficiencies present in existing cryptocurrencies.
ZEN,Horizen,horizen,1096198616.377273,Smart Contract Platforms,Infrastructure,Privacy focused crypto-ecosystem,Horizen is a privacy-oriented cryptocurrency with sidechains enabling anyone to build privacy-based applications. 
